001f01	Nokia
001f12	Juniper
001f1f	Edimax
001f26	Cisco
001f27	Cisco
001f33	Netgear
001f3b	Intel
001f3c	Intel
001f3f	AVM (FRITZ!Box)
001f41	Ruckus
001f5b	Apple
001f5c	Nokia
001f5d	Nokia
001f6b	LG
001f6c	Cisco
001f6d	Cisco
001f7e	CommScope
001f90	Actiontec
001f95	Sagemcom
001f9d	Cisco
001f9e	Cisco
001f9f	Technicolor
001fa7	Sony
001fb3	Pace
001fb8	Arris
001fc4	CommScope
001fc6	ASUS
001fc9	Cisco
001fca	Cisco
001fcc	Samsung
001fcd	Samsung
001fde	Nokia
001fdf	Nokia
001fe3	LG
001fe4	Sony
001ff3	Apple
002040	CommScope
00207b	Intel
0020aa	Ericsson
0020e0	Actiontec
002108	Nokia
002109	Nokia
002119	Samsung
00211b	Cisco
00211c	Cisco
00211e	CommScope
002127	TP-Link
002129	Cisco
002136	CommScope
00213c	Cisco
002143	CommScope
00214c	Samsung
002155	Cisco
002156	Cisco
002159	Juniper
00215c	Intel
00215d	Intel
00216a	Intel
00216b	Intel
00217c	Pace
002180	CommScope
002182	D-Link
002191	D-Link
00219e	Sony
0021a0	Cisco
0021a1	Cisco
0021aa	Nokia
0021ab	Nokia
0021be	Cisco
0021d1	Samsung
0021d2	Samsung
0021d7	Cisco
0021d8	Cisco
0021e9	Apple
0021fb	LG
0021fc	Nokia
0021fe	Nokia
00220c	Cisco
00220d	Cisco
002210	CommScope
002215	ASUS
00223a	Cisco
00223f	Netgear
002241	Apple
002248	Microsoft
002255	Cisco
002256	Cisco
002265	Nokia
002266	Nokia
00226b	Cisco
002275	Belkin
00227f	Ruckus
002283	Juniper
002290	Cisco
002291	Cisco
002293	ZTE
002298	Sony
0022a1	Huawei
0022a4	Pace
0022a6	Sony
0022a9	LG
0022b0	D-Link
0022b4	CommScope
0022bd	Cisco
0022be	Cisco
0022c2	Amazon
0022ce	Cisco
0022fa	Intel
0022fb	Intel
0022fc	Nokia
0022fd	Nokia
002304	Cisco
002305	Cisco
00230b	CommScope
002312	Apple
002314	Intel
002315	Intel
002332	Apple
002333	Cisco
002334	Cisco
002339	Samsung
00233a	Samsung
002345	Sony
